序号,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
744,战略分析实习生（可转正）,200-300/天,特劳特战略定位,上海,特劳特战略定位,硕士,3天／周,实习3个月,"与专家共事, 对接行业大咖, 餐补, 战略定位, 行业研究, 可转正实习","一、 工作职责
1、信息分析：协助项目组完行业及重点企业的研究和分析，形成简报；
2、市场调研：参与专家访谈、市场走访，整理会议纪要及调研报告；
3、战略研究：辅助各类战略课题研究，提出有建设性的想法；
4、项目支持：协助支持项目组会务、行程安排等。

二、任职要求
1、实习经验：有行业或企业研究的相关经验；
2、教育背景：研究生或MBA在读，985/211或QS前100院校优先；
3、实习时间：3个月及以上，每周至少3天，周末双休；
4、能力特质：
- 有抱负，不甘平庸，具有创业者精神；
- 较强的逻辑思维与文字呈现能力；
- 保持开放心态，对商业有强烈的探索欲，愿意积极主动学习新知识。

三、 实习收获
1、快速成长：短期内获得战略视角，比同龄人更懂商业底层逻辑；
2、商业实战：深度参与真实商业项目，获取宝贵实战经验；
3、优秀伙伴：与顶级战略专家共事，学习最专业的战略及定位知识；
4、导师带教：资深顾问及HR导师一对一指导；
5、转正机会：实习结束后经评估可转正。

四、 实习待遇
实习补贴280元/天（含餐补），每日下午茶。", 中文,2025-11-23,上海市/上海市/浦东新区 星展银行大厦 陆家嘴环路1318号12层,https://www.shixiseng.com/intern/inn_cqe9aszic4zg?pcm=pc_SearchList
745,投资分析实习生（科技类方向）,180-200/天,华和资本,北京,华和资本,硕士,3天／周,实习6个月,"VC行业, 著名投资人老板, 学习到很多干货, 有实习津贴, 可转正实习","工作描述：
1.   参与宏观、行业、及项目的分析研究，有独立行研和case study机会
2.   协助投资队成员，参与项目尽职调查、估值分析，支持基础研究数据的收集和分析，报告的撰写
岗位要求：
1.   985院校，理工科等相关专业研究生，有一定财务知识的优先
2.   对新科技感兴趣，对市场趋势敏感，对新事物有强烈探索欲，对投资兴奋，立志往投资领域发展
3.   中英文听说读写流利，较强的数据挖掘及信息收集能力，逻辑思维缜密
4.   有实习或工作经验者优先
5.   勤奋，聪明，踏实，主动， 善于团队协作和沟通
能保证每周至少3个工作日，能长期实习者优先。
       华和资本由开物投资创始主管合伙人、前北极光创投主管合伙人、前新浪资深副总裁周树华先生创立，旨在围绕教育文娱、健康医疗、科技金融及新能源等产业，结合智能技术进行投资布局，打造产业生态圈。
       华和资本团队核心成员均拥有资深的运营管理和投资经验，以及丰富的国内外产业资源，历史管理过开物投资、北极光创投、华登国际、道合金泽等数十亿一线美元及人民币基金。随着技术的迭代更新，团队在每个阶段均投资出行业领先标杆企业，如中文在线(300364)、Avegant、NEXMO、CloudMinds、华大基因(300676)、华住集团(NASDAQ: HTHT)、联合光电(300691)、美团、百世物流(NYSE: BSTI)、联络互动(002280)等行业领先项目。
     我们希望搭建一个广罗人才的平台，给更多具有创新能力和拼搏精神的人才提供丰富的资源和上升空间。如果你渴望创造未来，如果你勇于开拓梦想，那么请毫不犹豫地选择加入我们!", 不限,2026-3-31,海淀区清华科技园创新大厦B座1102,https://www.shixiseng.com/intern/inn_0k6kxpdfzmom?pcm=pc_SearchList
746,城市规划实习生-区域/板块分析,150-300/天,互思唯尔,上海,互思唯尔,本科,5天／周,实习6个月,"大牛带飞, 不打卡, 暑期实习, 寒假实习, 可转正实习, 留学生实习","【工作内容】 针对上海市各板块做规划解读与分析。需要形成一篇有观点有干货的硬核文章，其中包括文字内容的撰写+清晰美观的分析图表达。 【任职资格】
国内外知名大学城乡规划专业/城市规划相关专业；本科以上,硕士优先。
参与编制过项目规划者优先。
【薪资福利】 根据实际工作量与产出质量而定。1000-2000元左右一篇，具体可细聊。
【学习成长】
了解上海城市发展动向。
【工作地点】
可接受远程办公，但需按时提交内容", 中文,2026-3-31,上海市杨浦区长阳创谷,https://www.shixiseng.com/intern/inn_g0u4rutpzkym?pcm=pc_SearchList
747,业务分析和工业工程实习生,120-150/天,北京环球主题公园,北京,北京环球主题公园,本科,4天／周,实习3个月,"免费单间公寓, 免费工作餐","职位名称: 业务分析和工业工程实习生
 
职位概要
运用先进定量分析方法、工业工程和精益管理理念，为乐园各业务领域提供数据驱动的决策支持。你将通过先进分析工具和模型，推动流程持续改进、优化资源配置、降低成本，并解决复杂业务问题，助力提升运营效率和盈利能力。该职位将参与多项目评估、规划与实施，为乐园未来发展提供战略性建议和支持。
 
岗位职责
        1.        劳动力与资源优化
        •        分析预测劳动力需求、排班及人员配置，制定招聘和预算方案，建立监控关键绩效指标
        2.        业务流程改进
        •        调研并分析乐园运营流程，识别瓶颈，推动流程优化，提升资源利用效率
        3.        战略业务改进
        •        与内部客户及合作伙伴协作，挖掘业务改进机会，撰写商业案例支持增收和效能提升
        4.        先进分析应用
        •        运用定量方法及先进工具对项目进行深入研究，推动数据驱动的决策制定
        5.        容量与扩展规划
        •        评估新项目容量需求，制定标准化规划方案，支持未来战略扩展
 
任职资格
        •        具备扎实的数据分析与逻辑思维能力，能够将理论知识灵活应用于实际工作
        •        拥有敏锐的现场观察力和问题解决能力，适应快节奏、多任务的工作环境
        •        具备良好的沟通协调能力，积极主动、团队合作意识强
        •        熟练使用办公软件（如Excel、PPT），并能运用数据可视化工具（如PowerBI、Tableau等）和统计分析软件（如R、SAS、SPSS等）
        •        熟悉VBA、Python、R等编程语言及计算机建模、仿真者优先
        •        有一定的项目管理和财务分析基础者优先考虑
 
教育背景
        •        本科及以上学历，理工或管理类专业优先
        •        工业工程、运筹学、应用数学、应用统计、工商管理等相关专业者尤佳
 ", 中文,2026-4-30,北京市通州区,https://www.shixiseng.com/intern/inn_dxptk9kxwreg?pcm=pc_SearchList
748,项目实习生-投资分析(J10168),薪资面议,中金公司,全国,中金公司,本科,4天／周,实习3个月,投资分析,"岗位职责:
1. 跟踪行业动态，协助发掘行业优质项目，收集整理行业及标的公司相关的信息；
2. 协助所支持的团队完成行业分析及公司尽职调查等相关工作；
3. 协助团队完成估值建模、撰写会议纪要和投资备忘录等；
4. 协助团队完成其他有关工作。
任职要求:
1. 诚信正直、低调谦逊、艰苦奋斗，具备良好的道德品质；
2. 国内外院校大学本科三年级及以上学历在读学生，具有经济学、金融学或理工类专业背景优先；
3. 能够熟练使用MS Office、Wind及Bloomberg等数据库，掌握行业研究、财务分析、估值建模等技能；
4. 具有PE/VC/IBD/咨询/研究或相关行业实习经验者优先；
5. 具备良好的沟通表达能力、逻辑思维能力和学习能力，对待工作积极主动、有责任心；
6. 每周实习时间不少于4个工作日，实习周期一般不少于3个月。", 中文,2026-6-25,北京/上海,https://www.shixiseng.com/intern/inn_qlvbapfseodu?pcm=pc_SearchList
749,商业分析实习生-TikTok直播,薪资面议,字节跳动,北京,字节跳动,本科,5天／周,实习3个月,"用户过亿, 大牛带队, 免费三餐","职位描述:
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。
TikTok LIVE 作为一种新的内容形式，为生态各方创造价值。直播为用户提供独特的内容和消费体验；直播为创作者找到合适的观众，提供最好的工具和一系列盈利模式；通过直播，平台也能从中获得健康、客观的分成收益，直播也是 TikTok 三个主要收入来源之一。
创作者和平台有一种美妙的共生关系，我们帮助创作者创造生计、改变他们的生活；作为平台，我们也可以从中获益、持续发展。我们一直听到这样的故事 —— “LIVE changes my life”。他们更好，我们才会更好。
加入我们，一起探索 “不可能的事”—— 我们是行业的先行者，在一步步改变行业。我们持续让行业了解直播是一种新的内容形式，是创作者可以依赖的商业模式。在几年前，没有人能想象直播会发展成今天的状态。现在，每月都有几百个合作伙伴加入，和我们一起助力创作者。在可见的一年中，我们还会看到电商为直播带来的新变化和发展。

1、协助团队开展直播创作者研究工作，包括但不限于直播内容、直播数据分析及创作者调研访谈等；
2、参与区域项目协作，对分层主播进行人群分析与运营策略制定，协助解决不同层级主播痛点。 

职位要求:
1、本科及以上学历在读，专业不限；
2、英文沟通能力优秀，英文需作为日常办公语言；
3、能够快速扫描市场信息，并在一定指导下相对独立进行业务调研，可以结构化的总结并产出报告；
4、对直播/泛文娱行业有热情，有相关行业公司战略/商业分析/策略/行业研究实习经历者优先；
5、可尽快到岗，至少可实习3个月以上，一周5天在岗优先。", 不限,2025-12-15,中国大陆北京市海淀区中关村南四街18号紫金数码园4号楼，邮编：100190,https://www.shixiseng.com/intern/inn_h17auxvb8don?pcm=pc_SearchList
750,战略分析及行业市场实习生,100-120/天,网易,北京,网易,本科,5天／周,实习3个月,"免费班车, 周末双休, 免费三餐","职位描述
1、行业与竞品分析：研究和分析各领域行业发展现状和趋势，研究竞品提供策略依据；
2、内部业务专项分析：通过定性和定量方法，辅助梳理业务发展现状、发现问题，输出优化建议；
3、辅助业务实施落地：行业市场奖项申报，新媒体发布、配合团队与公司各团队沟通、协调资源、处理项目问题推动项目落地。

职位要求
1、本科在读及以上学历，具备知名互联网公司或战略咨询公司实习经验者优先；
2、熟练掌握战略研究方法，以及从数据收集到报告产出的项目过程，可独立完成某个模块的研究分析工作；
3、具有良好的大局观，善于组织协调解决问题，具备较强的执行力；
4、具备独立数据分析能力，熟悉Excel，掌握其他数据分析工具。

下载网易小蜜蜂，搜“网易招聘”查看入职秘籍", 中文,2025-12-31,北京市/北京市/海淀区 网易北京研发中心 西北旺东路10号院中关村软件园二期西区7号,https://www.shixiseng.com/intern/inn_j9vvju5wfxiy?pcm=pc_SearchList
751,数据助理（广告业务）,150-180/天,上海三渡,上海,上海三渡,大专,5天／周,实习6个月,"可转正实习, 带薪年假, 发展空间, 职业提升, 团队Nice","岗位职责：
1.营运设计部广告设计需要的日常数据库的整理和报表制作；
2.广告设计物料制作订单的数据录入、核对和汇总；
3.物料制作供应商的工作沟通等。
  任职要求：
1. 大学专科以上学历；
2. 沪籍生源为佳；
3. 熟练使用EXCEL，精通函数公式者优先；
4. 愿意学习，性格积极主动；
5. 能保证正常工作日出勤，长期实习至毕业转正者优先；
6. 能适应广告行业工作状态。", 中文,2026-3-31,上海市徐汇区龙漕路299号天华信息科技园南区1号楼2层,https://www.shixiseng.com/intern/inn_xohu2zftwgu9?pcm=pc_SearchList
752,销售数据支持实习生,200/天,EB,上海,EB,本科,3天／周,实习6个月,免费咖啡,"岗位职责：
1.      协助销售团队整理编辑报价文档、准备投标材料，为报价审批提供支持；
2.     维护销售信息、客户信息，以确保数据的同步性和完整性；
3.      支持及跟踪销售流程，为销售经理提供内部支持；
4.     合同以及协议文档的管理和维护；
5.      其他：根据工作需要，完成上级制定的其他工作内容。


任职资格：
1.      本科或以上学历，商务、管理等专业优先；
2.      每周到岗3天以上，实习期6个月以上；
3.     熟练试用Outlook，Excel，PPT等办公软件，如有Salesforce使用经验更佳；
4.      能以英语为工作语言，具备良好的书面及口语沟通能力；
5.      快速学习能力，有耐心，注重细节，对数据敏感。", 不限,2025-12-6,上海市/上海市/杨浦区 北美广场A座,https://www.shixiseng.com/intern/inn_cgigu4uhneq7?pcm=pc_SearchList
753,算法工程师-数据挖掘,200-400/天,京东,北京市,京东,本科,5天／周,实习3个月,"JDYOUNG, 导师制, 接受大一大二, 有竞争力的薪酬, 班车, 福利券, 节日福利, 超高转正率, 餐补/工作餐","工作内容:
1. 负责信贷业务金融产品的模型构建和信用评分体系搭建；建立授信决策模型的基本框架，在基本框架下，负责各类信贷模型的设计、开发、验证、测试和实施，包括但不局限于反欺诈模型、金白条模型、小微模型、申请评分、行为评分、催收评分等；
2. 负责三方数据的评估及建模工作； 
3. 负责用户基础数据的梳理和管理，及业务层面数据分析平台的搭建； 
4. 负责与策略、产品、开发等跨职能团队的沟通，确保模型量化策略的合理实施、准确上线及上线后的监控优化。

任职资格:
1. 统招本科及以上学历在校生，26届优先；
2. 计算机/数学/统计/金融等专业优先；
3. 熟悉使用Python/R等编程工具中的一种，了解Hadoop/Spark/Flink等主流大数据框架; 
4. 熟悉常用数据挖掘、机器学习算法，如决策树、聚类、逻辑回归，关联分析、SVM，神经网络，boosting等，有海量数据挖掘的项目经验者佳； 
5. 对金融生态圈有基本认识，有互联网思维，工作积极主动、责任心和抗压能力强；
6. 符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。", 中文,2026-1-15,北京市,https://www.shixiseng.com/intern/inn_lntqli4opde0?pcm=pc_SearchList
754,数据本体与平台工程师,800-1200/天,Agentrix,北京,Agentrix,硕士,5天／周,实习3个月,"高薪资, 留用渠道, 股权激励, 可转正实习","使命：
建设类 Palantir 数据底座，把分散的业务数据转化为可计算资产，支撑上层 AI Agent。
主要职责：
 • 参与数据采集、治理、本体建模与服务化；
 • 构建数据分层体系与质量规则；
 • 输出数据字典与指标口径说明文档。
任职要求：
 • 精通 SQL，熟悉一种数据编排工具（Airflow / DBT / Prefect）；
 • 熟练 Python，掌握数据建模方法（星型、雪花等）；
 • 能将业务抽象成实体关系，有良好文档与工程意识；
 • 加分项：图数据库、数据质量框架、元数据管理经验。
适合专业：
计算机科学、软件工程、信息管理与信息系统、统计学、数学、数据科学、大数据技术
成长路径：
数据工程师 → 数据本体工程师 → 数据平台 Owner
薪资范围
16k–25k/月（税前）+ 年终奖 + 期权 0.01–0.05%
关键词
数据建模 / 数据治理 / 数据本体 / Python / DBT / Airflow", 中文,2025-12-3,北京市/北京市/海淀区,https://www.shixiseng.com/intern/inn_7qvuhllcxtqs?pcm=pc_SearchList
755,数据标注/AI训练师,150-200/天,上海音律闪动,上海,上海音律闪动,本科,3天／周,实习2个月,"线上实习, AI大模型, 音乐行业","【公司简介】
我们是一家专注于 AI 生成音乐领域的初创公司，核心产品为歌歌AI写歌，歌歌AI写歌是全球领先的AI音乐创作工具和创作者社区，通过“克隆你的声音，一键AI写歌”已连接数十万AI音乐创作者，创作了数百万首歌曲，在全网产生了数十亿播放，并为大量创作者结算了版税。目前公司处于高速发展阶段，团队汇聚了来自 AI 技术、音乐制作等领域的顶尖人才，现诚邀热爱 AI 与音乐的你加入，共同探索音乐科技的无限可能。

【岗位职责】
· 协助团队完成 AI 音乐模型训练相关数据的收集工作，包括但不限于音频数据爬取和传输，存储。
· 参与数据的清洗、整理与标注工作，利用常见的音频处理技术（如Whisper，FFmpeg等）编写脚本对音频数据进行处理和标注。按照公司制定的标准对音乐数据进行分类、筛选和修正，去除冗余、错误数据，提升数据质量。
· 协助构建和维护音乐数据资源库，做好数据的归档、备份与更新，保证数据的安全性和可访问性。
· 参与数据处理相关文档的撰写，记录数据处理流程、方法和结果，为团队成员提供清晰的数据参考。
· 配合模型团队完成数据测试与验证工作，及时反馈数据处理过程中发现的问题，并协助优化数据处理方案。

【任职要求】
· 大三及以上高校在校生，计算机科学、软件工程、人工智能、应用数学、信息管理、数据科学等相关理工科专业优先。对 AI 生成音乐领域有浓厚兴趣者可放宽专业或年级限制。
· 具备基础的数据处理知识和数字音频相关的知识，有 Python 数据处理经验（如使用 Pandas、Numpy 库），熟悉数字音频处理（如利用whisper等开源库转录语音，利用demucs等进行音频分离等）优先。
· 工作认真负责、细致严谨，具备良好的逻辑思维能力和问题解决能力，能高效完成分配的任务。
· 具备良好的团队协作精神和沟通能力，积极主动，乐于学习新的技术和知识。
· 每周可实习 3 天及以上，实习周期不少于 2 个月。

【你将获得】
1.深度参与 AI 大模型训练核心数据体系搭建，从 0 到 1 参与音乐数据标注标准制定与数据资源库优化，积累真实 AI 数据处理经验。
2.行业前沿技能：实践数据清洗、校验与分析方法论，掌握 AI 音乐数据处理核心能力。
3.实习薪资 150 / 天，表现优异者可获转正绿色通道。", 中文,2025-12-14,上海市/上海市/松江区 九里工坊,https://www.shixiseng.com/intern/inn_jopwthlmvnir?pcm=pc_SearchList
756,数据支持（SFE）实习生,120-180/天,盈纬达Envista,上海,盈纬达Envista,大专,3天／周,实习3个月,接受大一大二,"所属部门：SFE（销售效能支持）部
工作地点：上海市长宁区光大安石T2北座淞虹路377号，2号线淞虹路地铁站3号口
招聘人数：1名
实习时长：3-6个月（可根据情况协商）3天／周
薪资面议
---
岗位职责
1.票据整理与归档：
-负责销售相关票据的分类、扫描、录入及归档；
-协助建立电子票据数据库，确保信息完整可追溯。
2.数据核查与清洗：
-核对销售数据、客户信息等基础数据的准确性；
-发现并标注数据异常，协助完善数据质量。
3.部门协作支持：
-协助SFE团队完成报表的整理与更新；
-销售分析等提供基础数据支持；
-处理部门日常行政事务
4.其他辅助工作：
-参与部门内部流程优化项目，提出效率改进建议。
---
任职要求
1.基础技能：
-熟练使用Excel（数据录入、基础公式）和Word（基础编辑）；
-能快速学习公司内部系统操作。
2.核心素质：
-细心严谨：对数字敏感，能高效完成重复性工作且保证准确性；
-务实负责：执行力强，能按时交付任务并主动反馈进展；
-沟通意识：具备团队协作精神，能与跨部门同事顺畅对接。
3.教育背景：
-专科/本科在读，专业不限，经管类、统计学、信息管理相关专业优先；

加分项（非必需）：
-对医疗器械/口腔行业有基础认知；
-有数据整理或行政支持类实习经验。
---
简历要求： 中文
---
期待细心踏实的你加入，与我们一起提升销售效能，助力口腔健康事业！🌟","所属部门：SFE（销售效能支持）部
工作地点：上海市长宁区光大安石T2北座淞虹路377号，2号线淞虹路地铁站3号口
招聘人数：1名
实习时长：3-6个月（可根据情况协商）3天／周
薪资面议
---
岗位职责
1.票据整理与归档：
-负责销售相关票据的分类、扫描、录入及归档；
-协助建立电子票据数据库，确保信息完整可追溯。
2.数据核查与清洗：
-核对销售数据、客户信息等基础数据的准确性；
-发现并标注数据异常，协助完善数据质量。
3.部门协作支持：
-协助SFE团队完成报表的整理与更新；
-销售分析等提供基础数据支持；
-处理部门日常行政事务
4.其他辅助工作：
-参与部门内部流程优化项目，提出效率改进建议。
---
任职要求
1.基础技能：
-熟练使用Excel（数据录入、基础公式）和Word（基础编辑）；
-能快速学习公司内部系统操作。
2.核心素质：
-细心严谨：对数字敏感，能高效完成重复性工作且保证准确性；
-务实负责：执行力强，能按时交付任务并主动反馈进展；
-沟通意识：具备团队协作精神，能与跨部门同事顺畅对接。
3.教育背景：
-专科/本科在读，专业不限，经管类、统计学、信息管理相关专业优先；

加分项（非必需）：
-对医疗器械/口腔行业有基础认知；
-有数据整理或行政支持类实习经验。
---
 中文
---
期待细心踏实的你加入，与我们一起提升销售效能，助力口腔健康事业！🌟",2025-12-19,上海市/上海市/长宁区 光大安石T2北座 淞虹路377号，2号线淞虹路地铁站3号口,https://www.shixiseng.com/intern/inn_uwvufcuambcp?pcm=pc_SearchList
757,财务（数据处理）实习生,120-150/天,盈科外服,上海,盈科外服,不限,4天／周,实习4个月,零基础实习,"任职要求：
1. 财务相关专业，会计等专业优先；
2. 熟练掌握excel，能够完成数据清洗和报表整理工作；
3. 能够长期实习的同学优先录用；希望能够实习3个月以上，每周3天以上；
4. 可提供转正机会

实习工作：
服务在【财务部】主要工作，完成ERP上线前的数据清洗和整理工作。", 中文,2025-12-18,上海市/上海市/静安区 永和路118弄东方环球企业中心,https://www.shixiseng.com/intern/inn_uwujfhr6zymi?pcm=pc_SearchList
758,3d数据标注实习生,150-200/天,Math Magic数美万物,北京,Math Magic数美万物,本科,5天／周,实习3个月,"周末双休, 地铁周边, 不加班","岗位职责：
1、负责对 3D 模型数据进行高质量标注，确保数据的准确性和完整性。
2、根据项目需求，对 3D 模型进行分类、标记和评价。
3、配合团队完成数据标注流程的优化和改进。
4、参与数据质量检查，确保标注结果符合项目标准。
5、与 3D AIGC 技术团队协作，提供数据支持，助力前沿技术研发。

加分项：
1、有艺术背景和较好的个人审美
2、耐心细致，乐于沟通

有数据标注经验者优先。
对 3D 建模感兴趣，愿意推动产业发展的优先。

岗位优势：
薪资丰厚：提供具有竞争力的薪资待遇，具体面议。
前沿技术交流：有机会与 3D AIGC 前沿技术团队深入交流，了解行业最新动态。", 中文,2026-2-26,北京市/北京市/海淀区 互联网金融中心1210,https://www.shixiseng.com/intern/inn_igqngy7wdxv9?pcm=pc_SearchList
759,大模型数据标注,薪资面议,湖南前研,长沙,湖南前研,不限,5天／周,实习6个月,"可转正实习, 节日福利, 暑期实习","招募高校：本科及以上
【招募公司】: 湖南前研时刻科技有限公司
【上班时间】:常规班次8小时制，（上班时间：早九晚六）午休1个半小时，周末大小休。
【专业需求】:文学/艺术学/哲学/心理学/电子科学与技术学/等相关专业
【工作地点】:地址3号线，阳光地铁口站口200米
【薪资】:5K+/月，签订三方协议。
【面试方式】:线下面试
【项目需求】：
1.沟通能力强，语言逻辑强，细心，对文字内容高度敏感，养宠或爱宠人士，对文学有热情
2.细心，理解力强，有良好的自驱力，能够主动提出建议并积极解决问题
【人员画像】：
1.有良好的文字修饰技巧和高同理心沟通表达能力，熟练掌握高情商聊天技巧，能够理解用户问题中的潜在意图并给到高度共情的回复。
2.有情感类文字创作或大模型文本类标注/RM/评测经验。
3.能够快速理解标注规范，准确执行，积极发现问题，提供自己对规则和理想态的见解。", 中文,2025-11-27,湖南省/长沙市/岳麓区 阳光-3口,https://www.shixiseng.com/intern/inn_viazlbs09s8p?pcm=pc_SearchList
760,数据开发工程师（实习）,薪资面议,美团,北京,美团,硕士,5天／周,实习6个月,"一对一导师, 周末双休","部门描述：
美团金融服务平台成立于2016年，以“场景+金融”模式，携手合作伙伴构建开放生态，为美团平台用户和商户提供底层账户、支付通道、信贷、保险和理财等金融解决方案。我们致力于以科技为核心，助力金融机构打通金融普惠“最后一公里”。我们期待与大家共同完成每一件平凡而卓越的事情，一起为用户提供优质的产品体验，守护用户的资金安全，让生活变得更美好。

岗位职责:
1、负责美团保险的数据仓库模型开发。
2、负责美团金服业务数据需求的承接（报表、标签、临时提数等）。
3、负责日常数据运维工作。
4、负责文档沉淀维护和各种日常梳理工作。

岗位要求:
1、具备计算机相关基础知识。
2、熟悉一门编程语言（java、python、scala），有一定的代码能力。
3、具备sql能力。
4、具备良好的沟通能力，善于思考。

岗位亮点:
1、能学习到业内先进大数据相关理念、技术，能近距离接触业务。
2、务实的团队和工作氛围。
3、专业的数仓建设和治理实践。

具备以下优先:
1、了解数据仓库，有过数据开发相关经验的优先。
2、使用过大数据相关处理技术（hadoop、spark、flink等）优先。
3、对AI很感兴趣，有一定AI经验的优先。", 中文,2025-12-20,北京市/北京市/朝阳区 鼎成时代广场B座,https://www.shixiseng.com/intern/inn_tsfwcckuavwo?pcm=pc_SearchList
761,线上实习生（数据领域）,200-300/天,环球律师事务所,北京,环球律师事务所,硕士,5天／周,实习3个月,"实习津贴, 地铁周边","职位描述:
1、协助进行数据领域法律研究及政策研究法律检索；
2、协助开展国家级课题研究、追踪数据领域前沿政策热点问题；
3、协助撰写数据领域领域研究文章、案例分析；
4、协助开展其他法律研究、检索工作。
职位要求:
1、国内外知名法学院2027届及2028届在读研究生；
2、在数据领域有实践经验或课题研究、论文写作经验优先；
3、通过国内司法考试的优先；
4、外语优秀者（雅思7.0或托福108以上）优先；
5、良好的学习研究能力、团队协作能力与沟通能力，踏实勤奋、能吃苦、抗压性好；
6、期望尽快到岗，实习期至少3个月，能长期实习者优先考虑。", 中文,2026-7-31,北京市/北京市/朝阳区 华贸中心写字楼1座,https://www.shixiseng.com/intern/inn_lplxnxlk2mbh?pcm=pc_SearchList
762,数据标注/AI训练师,120-200/天,鸿链科技,北京,鸿链科技,本科,2天／周,实习3个月,"地铁周边, 周末双休","岗位职责：
1、将业务需求转换成对AI的提问
2、输出不同提问方式的AI处理结果的比对报告
任职要求：
1、本科在校生，理科；
2、每周需要1-2天；
3、良好的逻辑能力；
4、良好的沟通能力；", 中文,2025-11-25,北京市/北京市/顺义区 远洋盈创健康产业园8号楼2层203,https://www.shixiseng.com/intern/inn_u0cbezjwheat?pcm=pc_SearchList
763,数据标注/AI训练师,150/天,慕华信息,上海,慕华信息,本科,3天／周,实习3个月,远程实习,"一、岗位描述
      我们正在寻找对AI教育领域充满热情的实习生，协助AI课程经理完成课程建设的全流程工作。你将参与到从课程资料收集、知识库建设、知识图谱构建、指令设计、智能体开发到课程上线门户的完整流程中，帮助高校教师打造智能化、个性化的AI课程。
二、岗位职责
1.课程资料处理：协助课程经理收集老师提供的课程资料，仔细核对资料的完整性和规范性，确保资料准确无误地上传到系统。对各类课程材料进行分类整理，包括教材、讲义、习题等，建立清晰有序的资料目录结构，方便后续查找和使用。协助制作课程相关的辅助材料，如 PPT、练习题、实验指导等，确保教学资源的完整性。
2.知识碎片库构建：参与课程材料的分析筛选工作，依据课程重点和教学需求，精准挑选出高质量、强相关的内容。将筛选后的资料进行解析，转化为精准化的知识碎片，按照学科知识体系进行分类标记，确保知识点覆盖率达到80%以上。为构建完善的知识碎片库贡献力量。
3.知识图谱建构：协助课程经理根据课程大纲、教材、PPT等资料，初步构建知识图谱，并进行知识点关联和优化。
4.智能体搭建！擅长提示词及coze基本使用！
三、任职要求
1.专业不限，但计算机、信息技术、教育技术学、理科类（如数学、物理、化学等）相关专业优先考虑。
2.对 AI 教育领域充满好奇与热情，愿意主动学习和探索 AI 在教育中的创新应用。
3.具备良好的沟通能力，能够与课程经理、教师团队进行有效的信息交流。完成领导交办的其他与 AI 课程建设相关的任务。
4. 熟练使用办公软件，如 Word、Excel 等，能够高效完成资料整理、数据统计等任务。
5. 每周能够保证 3天以上的实习时间，实习周期最好是可三个月以上，日常工作线上为主。大三和研二优先。", 中文,2025-12-25,上海市/上海市/黄浦区 开封市天主教教务委员会驻上海办事处,https://www.shixiseng.com/intern/inn_n6mxea02ni3l?pcm=pc_SearchList
764,数据标注实习生（北京）,150-250/天,美图公司,北京,美图公司,本科,5天／周,实习6个月,"团队氛围好, 导师带教","美图影像研究院(MT Lab)专注于计算机视觉、深度学习与计算机图形学等前沿算法的研究与应用。我们为美图产品提供核心技术支持。团队汇聚顶尖人才，致力于推动影像技术的突破，让科技与艺术美好交汇。
MT Lab focuses on R&D of cutting-edge algorithms in CV, deepearning, and computer graphics. We provide core technicalsupport for Meitu products.Our team of top talent is dedicated to advancing imagingtechnology, beautifully merging science and art.

岗位名称：数据标注实习生
工作地点：北京
岗位职责：
● 对给定的数据进行分类、标注和整理，确保数据的准确性和一致性
● 根据项目需求，对图像、文本、音频或视频等数据进行标注，如物体检测、语义分割、文本分类等
● 负责数据标注规范的制定、优化和审核，提高标注效率和质量
● 进行产品测试，对标注结果进行质量验收
● 与其他团队成员协作，确保项目的顺利进行

任职要求：
● 有python使用经验者优先，有相关经验者优先
● 熟练掌握基本的计算机操作和办公软件，如Word、Excel等
● 良好的逻辑思维、沟通和团队协作能力
● 对图像数据整理工作有热情
● 工作细心、认真、有较好的审美意识，富有责任感

Title: Data Annotation Intern
Location: Xiamen
Key Responsibilities:
● Classify, annotate, and organize given data to ensure accuracy and consistency.
● Perform annotations on image, text, audio, or video data according to project requirements, such as object detection, semantic segmentation, text classification, etc.
● Develop, optimize, and review data annotation standards to improve efficiency and quality.
● Conduct product testing and perform quality acceptance checks on annotation results.
● Collaborate with other team members to ensure smooth project progression.
Qualifications:
● Detail-oriented, diligent, with good aesthetic sense and strong sense of responsibility prior relevant work experience preferred.
● Proficient in basic computer operations and office software (e.g., Word, Excel).
● Strong logical thinking, communication, and teamwork skills.
● Passionate about image data organization work.
● Experience with Python is preferred.", 中文,2026-11-6,北京市/北京市/海淀区 致真大厦C座,https://www.shixiseng.com/intern/inn_3juw4hhdne5v?pcm=pc_SearchList
